Gene_id,SRR18920974,SRR18920975,SRR18920976,SRR18920977,SRR18920978,SRR18920979,SRR18920980,SRR18920981
ZZZ3,4382,4943,4544,4204,4593,4770,4689,4437
ZZEF1,4826,5389,3315,3233,5042,5398,3746,3601
ZYXP1,0,0,0,0,0,0,0,0
ZYX,10662,12064,8369,8477,13972,15161,13898,14176
ZYG11B,3954,4057,2989,2919,1932,2289,2526,2329
ZYG11AP1,0,0,0,0,0,0,0,0
ZYG11A,62,83,99,104,0,0,2,0
ZXDC,872,999,1055,908,670,729,772,932
ZXDB,409,481,452,519,318,366,324,368
ZXDA,219,252,202,237,122,115,138,131
ZWINT,5073,5418,5431,5562,1643,1644,3309,3107
ZWILCH,4860,5381,5029,4906,2233,2582,3663,3080
ZW10,2363,2808,2943,3029,1900,2220,3628,3078
ZUP1,1015,990,1083,1116,741,825,1269,1134
ZSWIM9,497,539,450,500,299,374,360,398
ZSWIM8-AS1,0,0,0,0,0,0,1,0
ZSWIM8,2137,2425,2057,2036,3134,3146,3238,2795
ZSWIM7,678,777,769,943,705,649,991,800
ZSWIM6,918,952,882,889,2460,2548,2129,2261
ZSWIM5P3,0,6,0,0,21,20,9,7
ZSWIM5P2,53,75,52,52,28,19,14,9
ZSWIM5P1,4,0,1,0,10,5,0,3
ZSWIM5,73,67,21,16,239,239,160,146
ZSWIM4,188,223,209,179,860,937,733,638
ZSWIM3,169,226,145,128,271,346,350,303
ZSWIM2,0,0,0,0,0,4,4,22
ZSWIM1,850,918,763,770,672,747,746,791
ZSCAN9,853,918,834,827,683,853,834,781
ZSCAN5DP,0,0,0,2,0,0,0,0
ZSCAN5C,9,7,7,3,3,3,4,5
ZSCAN5B,4,3,0,0,3,2,1,3
ZSCAN5A-AS1,6,8,2,0,2,2,6,6
ZSCAN5A,206,238,131,168,205,187,142,179
ZSCAN4,0,0,0,0,0,0,0,0
ZSCAN32,703,752,760,729,336,410,474,536
ZSCAN31,224,301,188,183,235,237,211,229
ZSCAN30,1237,1387,688,779,1108,1169,1122,865
ZSCAN29,1224,1316,1092,1044,1107,1284,1181,1170
ZSCAN26,987,1078,900,937,857,946,951,952
ZSCAN25,665,821,626,590,780,932,1019,990
ZSCAN23,89,94,53,76,159,140,179,139
ZSCAN22,383,438,351,397,210,231,276,198
ZSCAN21,332,414,265,290,306,270,270,230
ZSCAN20,579,692,735,613,610,643,720,639
ZSCAN2,358,498,355,344,226,259,189,190
ZSCAN18,1153,1402,770,755,1275,1195,1115,1169
ZSCAN16-AS1,248,253,207,211,223,250,185,201
ZSCAN16,254,242,225,179,244,289,251,258
ZSCAN12P1,0,0,0,0,0,0,0,0
ZSCAN12,156,206,235,178,1081,1158,1199,1044
ZSCAN10,2,2,4,2,0,1,0,0
ZSCAN1,97,135,64,88,90,118,57,52
ZRSR2P1,0,0,0,0,0,0,0,0
ZRSR2,395,434,431,393,301,262,253,224
ZRANB3,498,576,533,643,676,741,887,839
ZRANB2-DT,8,19,0,8,51,18,18,22
ZRANB2-AS1,4,4,0,0,4,2,6,6
ZRANB2,3941,4730,2730,3014,4807,5028,3800,3658
ZRANB1,1677,1905,1528,1575,932,976,1066,1006
ZPR1P1,1009,1014,1162,1222,1230,1339,1698,1806
ZPR1,1764,1836,2066,2138,2070,2169,2842,2902
ZPLD2P,6,0,1,6,0,0,0,0
ZPLD1,2,7,0,2,986,1052,1734,1657
ZPBP2,0,0,0,0,0,0,0,0
ZPBP,0,0,0,0,0,0,0,0
ZP4,0,0,0,0,0,10,8,3
ZP3P2,0,0,0,0,0,0,0,0
ZP3P1,0,0,2,0,0,0,0,0
ZP3,419,480,508,477,316,370,411,464
ZP2,0,0,0,0,0,0,0,0
ZP1,1,0,7,0,0,0,0,0
ZNRF4,0,2,0,0,0,0,0,0
ZNRF3-IT1,1,2,2,2,0,0,2,0
ZNRF3-AS1,4,7,3,6,2,6,1,3
ZNRF3,1521,1628,1662,1700,465,445,582,524
ZNRF2P3,0,0,0,0,0,0,0,0
ZNRF2P2,21,26,34,45,42,25,40,35
ZNRF2P1,66,50,115,58,184,172,155,172
ZNRF2,508,508,746,804,500,583,823,789
ZNRF1,1494,1635,1169,1304,722,783,640,647
ZNRD2-DT,64,67,63,55,45,38,40,27
ZNRD2,1316,1317,1212,1283,961,1132,1054,1075
ZNNT1,38,39,26,28,20,18,22,12
