"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ZZEF1",4292.59408435282,-0.538355390926611,0.126434365206043,-4.25798310490413,2.06279534418587e-05,0.000573121691806569
"ZSCAN1",86.2337352884609,-0.710481843076754,0.226599790832083,-3.13540379039114,0.00171617710595007,0.0248721952581585
"ZNF841",701.101493576844,-0.479614882463722,0.111623874012761,-4.29670522283512,1.73355475554623e-05,0.000492866058369691
"ZNF790-AS1",144.580112470763,-0.913169574904688,0.281693854960613,-3.24170924861804,0.00118815173297717,0.0185067900286061
"ZNF772",116.832253810561,-0.511800272943772,0.142573527441804,-3.58972862723537,0.000331022392673938,0.00630566290258592
"ZNF71",458.817718488,-0.866035980201126,0.284440226848537,-3.04470288818286,0.00232910274946708,0.0321724969119999
"ZNF616",707.647675812644,-0.511924097503399,0.138537072232384,-3.6952137738604,0.000219701857712653,0.00446378792239727
"ZNF613",238.471375311305,-0.568859955062865,0.151426013518534,-3.75668580216066,0.00017217844784358,0.00365237861118013
"ZNF610",255.170373651647,-0.803988799103578,0.211595544748315,-3.79964899572858,0.00014490117382509,0.00314203852430115
"ZNF609",4140.67205012077,-0.476330471320203,0.0672837174739683,-7.07943153563851,1.44746988632239e-12,1.24913727008034e-10
"ZNF605",764.439742185021,-0.646340425356777,0.0966665190073438,-6.68629047568863,2.28898473924461e-11,1.69315507530185e-09
"ZNF585A",478.807082774637,-0.55473062164386,0.0880614310482122,-6.29935960659274,2.98877867211324e-10,1.97942872753484e-08
"ZNF575",36.4660924169511,-0.849766928019987,0.289295793624853,-2.93736357992792,0.00331015772176495,0.0432420986175823
"ZNF561",1802.41350769925,-0.367465672235246,0.0818765262929307,-4.48804668288637,7.18791803391173e-06,0.000226605083847693
"ZNF512B",1435.99735698101,-0.387076391188369,0.0804909785621374,-4.80894130128576,1.51731749350846e-06,5.64845403302375e-05
"ZNF512",957.348195277185,-0.360362352439692,0.102468839928852,-3.51679937715606,0.000436783783995634,0.00799071147444689
"ZNF503",776.64380009208,-0.423973504790785,0.109291580318873,-3.87928789714434,0.000104762704464415,0.00240602195051541
"ZNF451",2751.8446723293,-0.175081513954272,0.0480857775993079,-3.6410249078886,0.000271554860259505,0.00533953728107499
"ZNF439",451.31386112223,-0.429716014337645,0.143596141642434,-2.99253175901948,0.00276673878463755,0.0370205682169943
"ZNF426",1120.42821199697,-0.310908233114747,0.0822734262761046,-3.7789629919065,0.000157482824577004,0.00337206644554796
"ZNF419",495.348658188253,-0.572308442000831,0.197195931578306,-2.90223250256849,0.00370513438622381,0.0474229447621021
"ZNF417",505.472472938483,-0.453406316477955,0.142894385550525,-3.17301701344759,0.00150863683529779,0.0225332846195222
"ZNF362",1301.46178566055,-0.858920251828526,0.107116143057128,-8.01858830344965,1.06967372218124e-15,1.23496722235884e-13
"ZNF358",1289.94882921458,-0.458744291653227,0.13154191042054,-3.48743826349046,0.000487671498268682,0.00878065636556055
"ZNF350",288.685212879823,-0.555690451566073,0.134759497722912,-4.12357170333674,3.73042260130015e-05,0.000973156198296423
"ZNF33B",1292.68278055687,-0.389134360101207,0.0901626651356692,-4.31591456969102,1.58943445802442e-05,0.000457987632112367
"ZNF329",592.560296949479,-0.447664413162735,0.100547663238346,-4.45226073629932,8.49708982050074e-06,0.000263024952469015
"ZNF322",1012.10817618187,-0.399716125939319,0.0915894323763742,-4.36421665216508,1.27579091826626e-05,0.000374560814783772
"ZNF304",671.126750289449,-0.332707248136912,0.104164226511462,-3.19406440463803,0.00140284816528427,0.021295598455776
"ZNF268",1337.93369650752,-0.457624876257933,0.0996134145082663,-4.59400853305714,4.34811586508902e-06,0.000144545244721354
"ZNF266",1991.61756269908,-0.544474426089138,0.0655722371495907,-8.30342916083559,1.01148693729152e-16,1.24340124442447e-14
"ZNF234",545.861692544755,-0.401700535857191,0.12294118444074,-3.26742041476604,0.00108532376583608,0.0171918921889334
"ZNF22-AS1",113.375695242385,-0.672688081140526,0.180215251732844,-3.73269229253548,0.000189443970517548,0.00393799163532038
"ZNF226",966.949638549455,-0.464127594271764,0.147919131942412,-3.13771172245967,0.00170272251310397,0.0247612081543894
"ZNF224",524.450707497205,-0.361514853612285,0.0942892433922863,-3.8341049371689,0.000126022336955793,0.00279292305001769
"ZNF136",320.866823690965,-0.473634923787791,0.137059299576142,-3.45569344986085,0.000548879169184733,0.00969875735662826
"ZNF12",1879.05399141496,-0.805586816970681,0.116268129539332,-6.92869851921168,4.24729846081723e-12,3.48911484615308e-10
"ZMYM3",4548.44326115654,-0.322686862295473,0.111238739127095,-2.90084969343989,0.00372152339930581,0.04745096170334
"ZHX1",2239.76639295525,-0.985159515026715,0.264751585657209,-3.72107125470541,0.000198379448470413,0.00408891391557773
"ZFYVE26",5136.31371303078,-0.311985589146372,0.071432963185112,-4.36752971226869,1.25659706057931e-05,0.000369560653599288
"ZFP14",270.011097037601,-0.56658182088843,0.186665002281601,-3.03528681843472,0.00240307039653476,0.0329280383845945
"ZEB1-AS1",283.774922230969,-0.498905586217494,0.160082996122372,-3.11654328256148,0.00182984816825557,0.0262083953486864
"ZDHHC7",2961.62245670152,-0.474078846558616,0.0471681630785939,-10.0508227502666,9.11035860940152e-24,1.92183577233141e-21
"ZCCHC3",1852.12933398394,-1.05782953847405,0.235960304358076,-4.48308261574697,7.35724289383912e-06,0.000231516039276297
"ZCCHC2",1137.06163514891,-0.975997746479041,0.204883566412591,-4.76367023265104,1.90103089182426e-06,6.94079377106861e-05
"ZBTB45",599.576309426601,-0.686631550245153,0.126952033935557,-5.40859038614301,6.35227267794016e-08,2.97373378761544e-06
"ZBED1",1073.44559456033,-0.515788592895189,0.149537836850599,-3.44921796221049,0.000562212696590511,0.0098721513277486
