"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ZW10",2723.06201767412,0.501823899469482,0.0969408030533994,5.17660142750267,2.2596423183013e-07,9.70113273688801e-06
"ZUP1",1013.19483885625,0.416543412779787,0.0906042974959531,4.59739134116008,4.27813610860225e-06,0.000142774436890013
"ZP3",425.713896309052,0.28328473486824,0.0982846893612965,2.8822875333805,0.00394799287759904,0.0498959721150406
"ZNRF2",656.862410907092,0.621499995764503,0.140024934903635,4.43849515939584,9.05900214321387e-06,0.00027690728018085
"ZNG1B",1666.16814006288,0.18558305580168,0.054535025515769,3.40300667408725,0.000666486524678401,0.011376878368811
"ZNF675",951.850645553454,0.587863683986576,0.16250554361637,3.6174992612828,0.000297463179364915,0.00578242701457144
"ZNF385D",99.5921954942322,0.710919162782632,0.225267810958815,3.1558843660651,0.00160012283265258,0.0235672013296411
"ZNF367",1954.52156269416,1.18444845220305,0.171576991388302,6.90330587230362,5.08060705035522e-12,4.09492135233112e-10
"ZNF333",448.937766317827,0.378142906733108,0.106347013712684,3.55574541805877,0.000376908920445146,0.00707718980620462
"ZNF273",518.820911151731,0.98408082111508,0.26207621789107,3.75494132597757,0.000173382090075485,0.00367110256892171
"ZNF254",1265.6806177712,0.397115757542358,0.0940709796437589,4.22144809213438,2.42737857009309e-05,0.000663625882034889
"ZNF24",3668.3327411344,0.617254878652186,0.208516117116694,2.96022622705344,0.00307413212194086,0.0404993797745594
"ZNF18",236.775617250031,0.478060937563511,0.121759893866748,3.92625947988009,8.62770810026504e-05,0.00204185108461536
"ZNF100",394.750838802801,0.760854039745146,0.196874853602735,3.86465831375518,0.000111244817696754,0.00251766913905223
"ZMYND11",3649.2172971178,1.33069393818709,0.0595059111973546,22.3623823484321,9.14961532571891e-111,3.90848692676397e-107
"ZFP36L1",19066.5662802667,0.337782344520526,0.0546969883564168,6.17551998145613,6.59460650459642e-10,4.18892347003863e-08
"ZFHX3-AS1",549.718683677343,0.342435579316021,0.106574303923334,3.21311579536431,0.00131303340378325,0.020139857962697
"ZDHHC18",3242.46375267272,1.15049422603757,0.155143418384212,7.41568181247863,1.21000685237194e-13,1.16810096533782e-11
"ZC3HAV1L",458.896354285531,0.457626518050298,0.107583523318656,4.25368591707891,2.10280194259156e-05,0.000582841793487195
"ZC3H7B",5830.02636684428,0.734145595522026,0.0421824832309946,17.4040392904748,7.68850408895403e-68,8.21084183549734e-65
"ZC3H15",5621.69949956736,0.294134219402353,0.0424284781445144,6.93247159138046,4.13550616747476e-12,3.41369052577977e-10
"ZBTB43",686.951351851177,1.01481358524388,0.126668005122571,8.011601542646,1.13224193714814e-15,1.29843073691612e-13
"ZBTB24",1021.18845287352,0.34356862947335,0.0803477893323456,4.27601844840103,1.90265463590718e-05,0.000534714798745823
